"pl":"kasjer/kasjerka","en":"cashier"
"pl":"dostać pracę","en":"get a job"
"pl":"rozwieść się","en":"get divorced"
"pl":"ożenić się, wyjść za mąż","en":"get married"
"pl":"stać się bogatym","en":"get rich"
"pl":"iść na uniwersytet","en":"go to university"
"pl":"kłócić się","en":"have an argument"
"pl":"mieć operację","en":"have an operation"
"pl":"mieć dzieci","en":"have children"
"pl":"pogodzić się","en":"make up"
"pl":"przeprowadzić się","en":"move house"
"pl":"ściągać na sprawdzianie","en":"cheat in a test"
"pl":"poprawiać błędy","en":"correct mistakes"
"pl":"zrobić świetny projekt","en":"do a brilliant project"
"pl":"nie zaliczyć sprawdzianu","en":"fail a test"
"pl":"dostać dobrą ocenę","en":"get a good mark"
"pl":"dostać niską ocenę","en":"get a low mark"
"pl":"robić błędy","en":"make mistakes"
"pl":"zaliczyć sprawdzian","en":"pass a test"
"pl":"uważać na lekcji","en":"pay attention in class"
"pl":"powtarzać do sprawdzianu","en":"revise for a test"
"pl":"napisać znakomite wypracowanie","en":"write an excellent essay"
"pl":"Baw się dobrze!","en":"Have a good time!"
"pl":"Złapię ich na gorącym uczynku.","en":"I'll catch them red-handed."
"pl":"Jaki to ma sens?","en":"What's the point?"
"pl":"Zgadzam się z Tobą.","en":"I agree with you."
"pl":"Nie mogę w to uwierzyć.","en":"I can't believe that."
"pl":"Nie zgadzam się.","en":"I don't agree."
"pl":"Nie chcę być niegrzeczny, ale czy jesteś pewien, że to prawda?","en":"I don't mean to be rude, but are you sure that's right?"
"pl":"Brzmi OK.","en":"That sounds right."
"pl":"To bzdura.","en":"That's rubbish."
"pl":"On mnie lubi.","en":"He likes me."
"pl":"Lubię cię.","en":"I like you."
"pl":"Lubię go.","en":"I like him."
"pl":"Lubię ją.","en":"I like her."
"pl":"Lubię to.","en":"I like it."
"pl":"On nas lubi.","en":"He likes us."
"pl":"Oni lubią was.","en":"They like you."
"pl":"Lubię ich.","en":"I like them."
"pl":"Moja siostra wzbogaci się w 2052 roku.","en":"My sister will get rich in 2052."
"pl":"Mój kuzyn pójdzie na uniwersytet w przyszłym roku.","en":"My cousin will go to university next year."
"pl":"Adam nie będzie miał dzieci w 2045 r.","en":"Adam won't have children in 2045."
"pl":"Dylan nie przeprowadzi się w przyszłym roku.","en":"Dylan won't move house next year."
"pl":"Czy Rob będzie miał operację w 2049 r.?","en":"Will Rob have an operation in 2049?"
"pl":"Myślę, że Kevin dostanie dobrą robotę, ale nie wzbogaci się.","en":"I think Kevin will get a good job but he won't get rich."
"pl":"Myślę, że Kate nie będzie miała dzieci i się rozwiedzie.","en":"I think Kate won't have children and she will get divorced."
"pl":"nietoperz","en":"bat"
"pl":"bóbr","en":"beaver"
"pl":"wielbłąd","en":"camel"
"pl":"szympans","en":"chimpanzee"
"pl":"krab","en":"crab"
"pl":"kangur","en":"kangaroo"
"pl":"ośmiornica","en":"octopus"
"pl":"struś","en":"ostrich"
"pl":"sowa","en":"owl"
"pl":"pingwin","en":"penguin"
"pl":"niedźwiedź polarny","en":"polar bear"
"pl":"rekin","en":"shark"
"pl":"uroczy","en":"cute"
"pl":"zagrożony","en":"endangered"
"pl":"inteligentny","en":"intelligent"
"pl":"jadowity","en":"poisonous"
"pl":"straszny","en":"scary"
"pl":"brzydki","en":"ugly"
"pl":"dziób","en":"beak"
"pl":"pazury","en":"claws"
"pl":"pióra","en":"feathers"
"pl":"płetwa","en":"fin"
"pl":"sierść","en":"fur"
"pl":"łapa","en":"paw"
"pl":"skorupa, muszla","en":"shell"
"pl":"ogon","en":"tail"
"pl":"wąsy (u zwierząt)","en":"whiskers"
"pl":"skrzydło","en":"wing"
"pl":"klatka","en":"cage"
"pl":"legowisko dla psa","en":"dog bed"
"pl":"przysmaki dla psa","en":"dog biscuits"
"pl":"smycz dla psa","en":"dog lead"
"pl":"szampon dla psa","en":"dog shampoo"
"pl":"pokarm dla rybek","en":"fish food"
"pl":"buda","en":"kennel"
"pl":"nasiona","en":"seeds"
"pl":"akwarium","en":"tank"
"pl":"Czy mogę o coś zapytać?","en":"Can I ask you something?"
"pl":"Czy powinienem wyprowadzać go codziennie?","en":"Should I walk it every day?"
"pl":"Jak często powinienem myć miskę psa?","en":"How often should I wash the dog's bowl?"
"pl":"Dziękuję za pomoc.","en":"Thanks for your help."
"pl":"Myślę o kupieniu psa.","en":"I'm thinking of buying a dog."
"pl":"Nic mnie to nie obchodzi!","en":"I couldn't care less!"
"pl":"Trafiony w dziesiątkę!","en":"Spot on!"
"pl":"Proszę.","en":"There you are."
"pl":"Tygrys ma pomarańczowe futro i długi ogon.","en":"A tiger has got orange fur and a long tail."
"pl":"Tygrys ma mocne łapy.","en":"A tiger has got strong paws."
"pl":"Tygrys ma długie wąsy.","en":"A tiger has got long whiskers."
"pl":"Sowa ma silny dziób i dwa skrzydła.","en":"An owl has got a strong beak and two wings."
"pl":"Ptaki mają pióra i pazury.","en":"Birds have got feathers and claws."
"pl":"Delfiny mają płetwy.","en":"Dolphins have got fins."
"pl":"Kraby mają skorupy.","en":"Crabs have got shells."
"pl":"Strusie mieszkają w Afryce.","en":"Ostriches live in Africa."
"pl":"Wielbłądy żyją na pustyni.","en":"Camels live in the desert."
"pl":"Niedźwiedzie polarne mają białe futro.","en":"Polar bears have got white fur."
"pl":"Kangury podskakują w górę.","en":"Kangaroos jump up."
"pl":"Widzimy szympansy w zoo.","en":"We can see chimpanzees in the zoo."
"pl":"Ośmiornice są brzydkie.","en":"Octopuses are ugly."
"pl":"Bobry są bardziej inteligentne niż sowy.","en":"Beavers are more intelligent than owls."
"pl":"Pingwiny są ładniejsze niż rekiny.","en":"Penguins are cuter than sharks."
"pl":"Nietoperz nie jest tak przerażający jak krab.","en":"A bat isn't as scary as a crab."
"pl":"Węże są jadowite/trujące.","en":"Snakes are poisonous."
"pl":"Pandy są zwierzętami zagrożonymi wyginięciem.","en":"Pandas are endangered animals."
"pl":"zły - gorszy - najgorszy","en":"bad - worse - the worst"
"pl":"dobry - lepszy - najlepszy","en":"good - better - the best"
"pl":"Rekiny są bardziej niebezpieczne niż delfiny.","en":"Sharks are more dangerous than dolphins."
"pl":"Szympans jest bardziej inteligentny niż kangur.","en":"A chimpanzee is more intelligent than a kangaroo."
"pl":"Panda jest tak słodka jak kotek.","en":"A panda is as cute as a kitten."
"pl":"Rekin nie jest tak inteligentny jak delfin.","en":"A shark isn't as intelligent as a dolphin."
"pl":"Płetwal błękitny jest największym zwierzęciem.","en":"The blue whale is the biggest animal."
"pl":"Szympans jest najbardziej inteligentnym zwierzęciem.","en":"The chimpanzee is the most intelligent animal."
"pl":"lepszy","en":"better"
"pl":"najlepszy","en":"the best"
"pl":"gorszy","en":"worse"
"pl":"najgorszy","en":"the worst"
"pl":"To jest moje","en":"It's mine"
"pl":"To jest twoje / wasze.","en":"It's yours."
"pl":"To jest jego.","en":"It's his."
"pl":"To jest jej.","en":"It's hers."
"pl":"To jest nasze.","en":"It's ours."
"pl":"To jest ich.","en":"It's theirs."
"pl":"gulasz wołowy","en":"beef stew"
"pl":"brokuły","en":"broccoli"
"pl":"masło","en":"butter"
"pl":"rosół z makaronem","en":"chicken noodle soup"
"pl":"tłuczone ziemniaki","en":"mashed potatoes"
"pl":"groszek","en":"peas"
"pl":"kotlet schabowy","en":"pork chop"
"pl":"bułki","en":"rolls"
"pl":"pieczony łosoś","en":"salmon steak"
"pl":"sałatka z tuńczyka","en":"tuna salad"
"pl":"zapiekanka z indykiem","en":"turkey pie"
"pl":"gorzki","en":"bitter"
"pl":"świeży","en":"fresh"
"pl":"słony","en":"salty"
"pl":"ostry","en":"spicy"
"pl":"czerstwy","en":"stale"
"pl":"słodki","en":"sweet"
"pl":"mikser","en":"blender"
"pl":"miska","en":"bowl"
"pl":"deska do krojenia","en":"chopping board"
"pl":"filiżanka","en":"cup"
"pl":"widelec","en":"fork"
"pl":"patelnia","en":"frying pan"
"pl":"szklanka","en":"glass"
"pl":"nóż","en":"knife"
"pl":"talerz","en":"plate"
"pl":"rondel","en":"saucepan"
"pl":"łyżka stołowa","en":"spoon"
"pl":"łyżeczka","en":"teaspoon"
"pl":"dodawać","en":"add"
"pl":"gotować (np. wodę)","en":"boil"
"pl":"siekać","en":"chop"
"pl":"gotować (jedzenie)","en":"cook"
"pl":"smażyć","en":"fry"
"pl":"mieszać","en":"mix"
"pl":"podawać, serwować","en":"serve"
"pl":"kroić w plasterki","en":"slice"
"pl":"Jak to się robi?","en":"How do I make it?"
"pl":"Ile czasu potrzeba na zrobienie tego dania?","en":"How long does it take to make?"
"pl":"Jakich składników potrzebuję?","en":"What ingredients do I need?"
"pl":"Na początku, ...","en":"First, ..."
"pl":"Następnie, ...","en":"Then, ..."
"pl":"Na końcu, ...","en":"Finally, ..."
"pl":"Mogę ci pomóc.","en":"I can give you a hand."
"pl":"Ale mnie to wkurza!","en":"It makes me mad!"
"pl":"Tylko się uspokój!","en":"Just calm down!"
"pl":"Na niewiele się zdadzą.","en":"They aren't much use."
"pl":"Ta sałatka nie jest świeża.","en":"This salad isn't fresh."
"pl":"To jabłko jest trochę słodkie.","en":"This apple is a bit sweet."
"pl":"Ten gulasz wołowy jest słony.","en":"This beef stew is salty."
"pl":"To jest bardzo pikantne.","en":"This is very spicy."
"pl":"Bułki są czerstwe.","en":"The rolls are stale."
"pl":"Te pomarańcze są gorzkie.","en":"These oranges are bitter."
"pl":"Byłem w szkole.","en":"I was at school."
"pl":"Nie byłeś w szkole.","en":"you weren't at school."
"pl":"Czy był w szkole?","en":"Was he at school?"
"pl":"Ona była smutna.","en":"She was sad."
"pl":"To było słodkie.","en":"It was sweet."
"pl":"Nie byliśmy głodni.","en":"We weren't hungry."
"pl":"Czy oni byli w domu?","en":"Were they at home?"
"pl":"O której godzinie byłeś w szkole?","en":"What time were you at school?"
"pl":"Było dużo śmieci.","en":"There was a lot of rubbish."
"pl":"Tam było dużo ludzi.","en":"There were a lot of people."
"pl":"Nie było żadnego masła.","en":"There wasn't any butter."
"pl":"Nie było żadnych bułek.","en":"There weren't any rolls."
"pl":"Czy były jakieś banany?","en":"Were there any bananas?"
"pl":"Czy był nóż?","en":"Was there a knife?"
"pl":"być przeziębionym","en":"have a cold"
"pl":"mieć kaszel","en":"have a cough"
"pl":"mieć gorączkę","en":"have a fever"
"pl":"mieć ból głowy","en":"have a headache"
"pl":"mieć ból gardła/mieć chore gardło","en":"have a sore throat"
"pl":"mieć ból ucha","en":"have earache"
"pl":"mieć grypę","en":"have flu"
"pl":"mieć ból brzucha","en":"have stomach ache"
"pl":"mieć ból zęba","en":"have toothache"
"pl":"zadzwonić do lekarza","en":"call a doctor"
"pl":"zadzwonić po/wezwać karetkę","en":"call an ambulance"
"pl":"pojechać na ostry dyżur","en":"go to A&E (accident and emergency)"
"pl":"Idź do przychodni lekarskiej / ośrodka zdrowia","en":"go to the health centre"
"pl":"zostać w łóżku","en":"stay in bed"
"pl":"zmierzyć temperaturę","en":"take your temperature"
"pl":"brać leki","en":"take medicine"
"pl":"złamać nogę","en":"break your leg"
"pl":"posiniaczyć stopę","en":"bruise your foot"
"pl":"oparzyć rękę","en":"burn your hand"
"pl":"zaciąć się w palec","en":"cut your finger"
"pl":"zranić się w głowę","en":"hurt your head"
"pl":"zadrapać kolano","en":"scratch your knee"
"pl":"Jak to zrobiłeś?","en":"How did you do that?"
"pl":"Jak to się teraz czujesz?","en":"How does it feel now?"
"pl":"Co Ci się stało?","en":"What happened to you?"
"pl":"Kiedy to się stało?","en":"When did it happen?"
"pl":"To wcale nie boli.","en":"It doesn't hurt at all."
"pl":"Nie boli aż tak bardzo.","en":"It doesn't hurt much."
"pl":"Bardzo boli.","en":"It hurts a lot."
"pl":"Teraz jest lepiej.","en":"It is better now."
"pl":"Nie jest tak źle.","en":"It isn't too bad."
"pl":"Pośpiesz się!","en":"Hurry up!"
"pl":"Moja noga boli strasznie.","en":"My leg hurts like mad."
"pl":"Jesteś w tarapatach.","en":"You're in the soup."
"pl":"Wczoraj złamałem nogę.","en":"I broke my leg yesterday."
"pl":"Tom nie złamał nogi wczoraj.","en":"Tom didn't break his leg yesterday."
"pl":"Czy Tom złamał wczoraj nogę?","en":"Did Tom break his leg yesterday?"
"pl":"Gdzie Tom złamał nogę?","en":"Where did Tom break his leg?"
"pl":"Kiedy Betty zadrapała kolano?","en":"When did Betty scratch her knee?"
"pl":"Co oglądałeś wczoraj?","en":"What did you watch yesterday?"
"pl":"Dlaczego poszedłeś do szkoły w sobotę?","en":"Why did you go to school on Saturday?"
"pl":"Betty miała wczoraj gorączkę.","en":"Betty had a fever yesterday."
"pl":"komputer stacjonarny","en":"desktop computer"
"pl":"kontroler gry","en":"game controller"
"pl":"wkład drukujący, toner","en":"ink cartridge"
"pl":"klawiatura","en":"keyboard"
"pl":"laptop","en":"laptop"
"pl":"monitor","en":"monitor"
"pl":"mysz komputerowa, myszka","en":"mouse"
"pl":"drukarka","en":"printer"
"pl":"panel dotykowy","en":"touchpad"
"pl":"ekran dotykowy","en":"touch screen"
"pl":"kliknąć","en":"click"
"pl":"przycisnąć klawisz","en":"press a key"
"pl":"przeciągnąć ekran","en":"swipe the screen"
"pl":"stuknąć (tapnąć)","en":"tap"
"pl":"wpisywać swoje imię","en":"type your name"
"pl":"sprawdzić","en":"check"
"pl":"kasować","en":"delete"
"pl":"wyszukiwać (np. w internecie)","en":"do searches"
"pl":"pobierać filmy","en":"download videos"
"pl":"wpisać hasło","en":"Enter your password"
"pl":"zapomnieć hasło","en":"forget your password"
"pl":"przesłać e-mail dalej","en":"forward an email"
"pl":"instalować aplikacje","en":"install apps"
"pl":"zalogować się","en":"log in"
"pl":"wylogować się","en":"log out"
"pl":"zrobić kopię zapasową plików","en":"make backups of your files"
"pl":"zapisać swoją pracę","en":"save your work"
"pl":"wysyłać","en":"send"
"pl":"przesyłać filmy","en":"Upload videos"
"pl":"zły","en":"angry"
"pl":"radosny","en":"cheerful"
"pl":"speszony, zmieszany","en":"confused"
"pl":"przygnębiony, na dół","en":"down"
"pl":"głodny","en":"hungry"
"pl":"zadowolony","en":"pleased"
"pl":"spragniony","en":"thirsty"
"pl":"zmartwiony","en":"worried"
"pl":"Gratulacje","en":"Congratulations"
"pl":"Nie martw się. Możemy to rozwiązać.","en":"Don't worry. We can sort it out."
"pl":"Czuję się...","en":"I'm feeling..."
"pl":"O jej","en":"Oh dear"
"pl":"Biedny!","en":"Poor you!"
"pl":"Szkoda!","en":"That's a pity!"
"pl":"To dobra wiadomość!","en":"That's good news!"
"pl":"To wspaniale!","en":"That's great!"
"pl":"Dobra robota!","en":"Well done!"
"pl":"Co słychać?","en":"What's up?"
"pl":"Tak przypuszczam.","en":"I suppose so."
"pl":"Rozpocznijmy nowy rozdział w życiu.","en":"Let's turn over a new leaf."
"pl":"Wpadliśmy w niezłe tarapaty.","en":"We got into a right mess"
"pl":"Grałem dzisiaj w tę grę.","en":"I have played this game today."
"pl":"Sprawdziłeś to dzisiaj.","en":"You have checked it today."
"pl":"Tom zalogował się dzisiaj.","en":"Tom has logged in today."
"pl":"Bob nie wysłał dzisiaj e-maila.","en":"Bob hasn't sent an email today."
"pl":"Betty i Tom nie przesłali dzisiaj filmów.","en":"Betty and Tom haven't uploaded videos today."
"pl":"Czy Betty grała dzisiaj w Minecraft?","en":"Has Betty played Minecraft today?"
"pl":"Czy Tom wpisał swoje imię?","en":"Has Tom typed his name?"
"pl":"Czy Betty i Tom wylogowali się?","en":"Have Betty and Tom logged out?"
"pl":"wspiąć się na górę","en":"climb a mountain"
"pl":"skoczyć ze spadochronem","en":"do a skydive"
"pl":"zwiedzać jaskinię","en":"explore a cave"
"pl":"iść na ryby","en":"go fishing"
"pl":"nurkować z butlą/akwalungiem","en":"go scuba diving"
"pl":"obserwować wieloryby","en":"go whale watching"
"pl":"jeździć quadem","en":"ride a quad bike"
"pl":"spać pod namiotem","en":"sleep in a tent"
"pl":"nurkować z rurką","en":"go snorkelling"
"pl":"nocować w przyczepie kempingowej","en":"stay in a caravan"
"pl":"pływać z delfinami","en":"swim with dolphins"
"pl":"posprzątać plażę","en":"do a beach clean-up"
"pl":"posprzątać park","en":"do a park clean-up"
"pl":"posprzątać rzekę","en":"do a river clean-up"
"pl":"posprzątać ulicę","en":"do a street clean-up"
"pl":"przetwarzać/segregować odpady spożywcze","en":"recycle food waste"
"pl":"przetwarzać/segregować szkło","en":"recycle glass"
"pl":"przetwarzać/segregować papier","en":"recycle paper"
"pl":"przetwarzać/segregować plastik","en":"recycle plastic"
"pl":"przetwarzać/segregować metalowe puszki","en":"recycle tin cans"
"pl":"oszczędzać prąd","en":"save electricity"
"pl":"oszczędzać gaz","en":"save gas"
"pl":"oszczędzać benzynę/paliwo","en":"save petrol"
"pl":"oszczędzać wodę","en":"save water"
"pl":"Nie podoba mi się to","en":"I don't like the sound of that"
"pl":"Pasuje mi to","en":"I'll go with that"
"pl":"Nie jestem przekonany","en":"I'm not sure"
"pl":"Zróbmy to!","en":"Let's do it!"
"pl":"To brzmi dobrze","en":"That sounds good"
"pl":"To nie wypali","en":"That won't work"
"pl":"Dobry pomysł","en":"That's a good idea"
"pl":"Może byśmy?","en":"Why don't we?"
"pl":"Jestem kłębkiem nerwów","en":"I'm a bundle of nerves"
"pl":"Hura! na cześć","en":"Hooray for"
"pl":"Twoja kolej","en":"It's your turn"
"pl":"Nigdy nie jadłem łososia.","en":"I have never eaten salmon."
"pl":"Tom nigdy nie oglądał tego filmu.","en":"Tom has never watched this film."
"pl":"Czy byłeś kiedyś w Wielkiej Brytanii?","en":"Have you ever been to the UK?"
"pl":"Czy Michael kiedykolwiek jadł sushi?","en":"Has Michael ever eaten sushi?"
"pl":"Właśnie złamałem nogę.","en":"I have just broken my leg."
"pl":"Właśnie odrobił pracę domową.","en":"He has just done his homework."
"pl":"pięć dni temu","en":"five days ago"
"pl":"wczoraj","en":"yesterday"
"pl":"zeszły tydzień","en":"last week"
"pl":"w czerwcu","en":"in June"
"pl":"w 2010","en":"in 2010"
"pl":"Poszedłem/Poszłam wczoraj do kina.","en":"I went to the cinema yesterday."
"pl":"Anna złamała rękę pięć dni temu.","en":"Anna broke her arm five days ago."
"pl":"Allan grał w tenisa w zeszłym tygodniu.","en":"Allan played tennis last week."
"pl":"Bob nie zjadł jabłka w grudniu.","en":"Bob didn't eat an apple in December."
"pl":"Czy oni obejrzeli ten film w 2015 roku?","en":"Did they watch that film in 2015?"
