"pl":"plastyka, sztuka","en":"art"
"pl":"biologia","en":"biology"
"pl":"Żaden problem.","en":"No problem."
"pl":"Czy miałbyś/miałabyś coś przeciwko (zrobieniu kanapek na przyjęcie)?","en":"Would you mind (making sandwiches for the party)?"
"pl":"Przepraszam, ale myślę, że to nie jest dobry pomysł.","en":"Sorry, but I don't think that's a good idea."
"pl":"Przepraszam, ale nie mogę.","en":"I'm sorry, but I can't."
"pl":"spać odpowiednio długo","en":"get enough sleep"
"pl":"mieć pasję i regularnie ją rozwijać","en":"have a passion and do it regularly"
"pl":"mieć dobrze zbilansowaną dietę","en":"have a well-balanced diet"
"pl":"ograniczać swój czas w sieci","en":"limit your time online"
"pl":"wygospodarować czas na odpoczynek","en":"make time to relax"
"pl":"zarządzać swoim czasem","en":"manage your time"
"pl":"spędzać czas na świeżym powietrzu","en":"spend time outdoors"
"pl":"spędzać czas z rodziną","en":"spend time with your family"
"pl":"uczyć się pilnie","en":"study hard"
"pl":"myć","en":"clean"
"pl":"sprzątnąć ze stołu","en":"clear the table"
"pl":"pozmywać naczynia","en":"do the washing-up"
"pl":"nakarmić zwierzę domowe","en":"feed the pet"
"pl":"włożyć naczynia do zmywarki","en":"load the dishwasher"
"pl":"opiekować się bratem","en":"look after my brother"
"pl":"opiekować się siostrą","en":"look after my sister"
"pl":"posłać łóżko","en":"make my bed"
"pl":"sprzątnąć ubrania","en":"put my clothes away"
"pl":"nakryć do stołu","en":"set the table"
"pl":"wyprowadzić psa na spacer","en":"take the dog for a walk"
"pl":"wynieść śmieci","en":"take the rubbish out"
"pl":"wyjąć naczynia ze zmywarki","en":"unload the dishwasher"
"pl":"odkurzyć","en":"vacuum"
"pl":"umyć samochód","en":"wash the car"
"pl":"podlać rośliny","en":"water the plants"
"pl":"Potrzebuję Twojej pomocy.","en":"I need your help."
"pl":"Chodźmy!","en":"Come on, let's go!"
"pl":"Zaczekaj! Potrzebuję mojego telefonu.","en":"Hold on! I need my phone."
"pl":"Co słychać?","en":"What's up guys?"
"pl":"A może spędzisz trochę czasu na świeżym powietrzu?","en":"Why don't you spend some time outdoors?"
"pl":"Dzięki, ale to nie jest dobry pomysł.","en":"Thanks, but that isn't a good idea."
"pl":"Co Ty na to, aby pójść do lodziarni?","en":"How about going to the ice cream shop?"
"pl":"Przepraszam, ale wolałbym nie.","en":"I'm sorry, but I'd rather not."
"pl":"Dzięki, z przyjemnością!","en":"Thanks, I'd love to!"
"pl":"Możemy spotkać się z Rafaelem i Aną.","en":"We can meet Rafael and Ana."
"pl":"To brzmi dobrze. Świetny pomysł!","en":"That sounds nice. Great idea!"
"pl":"Zagrajmy w piłkę nożną w parku.","en":"Let's play football in the park."
"pl":"ręka","en":"arm"
"pl":"plecy","en":"back"
"pl":"ciało","en":"body"
"pl":"łokieć","en":"elbow"
"pl":"palec u ręki","en":"finger"
"pl":"stopa","en":"foot"
"pl":"dłoń","en":"hand"
"pl":"głowa","en":"head"
"pl":"kolano","en":"knee"
"pl":"noga","en":"leg"
"pl":"szyja","en":"neck"
"pl":"ramię","en":"shoulder"
"pl":"palec u stopy","en":"toe"
"pl":"zły","en":"angry"
"pl":"poirytowany","en":"annoyed"
"pl":"znudzony","en":"bored"
"pl":"pewny siebie","en":"confident"
"pl":"podekscytowany","en":"excited"
"pl":"samotny","en":"lonely"
"pl":"zdenerwowany","en":"nervous"
"pl":"dumny","en":"proud"
"pl":"przestraszony","en":"scared"
"pl":"zestresowany","en":"stressed"
"pl":"zaskoczony","en":"surprised"
"pl":"nieszczęśliwy","en":"unhappy"
"pl":"poddenerwowany","en":"upset"
"pl":"Zaczekaj chwilę. Pomogę Ci.","en":"Wait a second. I'll help you."
"pl":"Skończone! Wszystko gotowe!","en":"That's it! All done!"
"pl":"Nic się nie dzieje.","en":"Nothing's happening."
"pl":"Coś jest nie tak.","en":"Something's wrong."
"pl":"Wszystko w porządku. Jestem tylko trochę znudzony.","en":"I'm OK. I'm just a bit bored."
"pl":"Nie powinieneś wpatrywać się w swój telefon cały dzień.","en":"You shouldn't look at your phone all day."
"pl":"A może spędzisz trochę czasu z przyjaciółmi?","en":"What about spending more time with friends?"
"pl":"Powinieneś poprosić panią Adams o pomoc.","en":"You should ask Ms Adams for help."
"pl":"Wiem, ale jestem trochę zdenerwowany.","en":"I know, but I'm a bit nervous."
"pl":"przygotować prezentację","en":"do a presentation"
